origin_airport,dest_airport,origin_city,dest_city,year,month,n_passengers,n_flights,n_seats
ABX,SYD,Albury,Sydney,2016,1,16007,387,23884
ABX,SYD,Albury,Sydney,2016,2,16461,487,26999
ABX,SYD,Albury,Sydney,2016,3,19486,519,28885
ABX,SYD,Albury,Sydney,2016,4,19155,522,28989
ABX,SYD,Albury,Sydney,2016,5,19278,561,30216
ABX,SYD,Albury,Sydney,2016,6,17766,529,28806
ABX,SYD,Albury,Sydney,2016,7,19599,548,29355
ABX,SYD,Albury,Sydney,2016,8,20126,574,30804
ABX,SYD,Albury,Sydney,2016,9,20218,549,29684
ABX,SYD,Albury,Sydney,2016,10,19717,547,29757
ABX,SYD,Albury,Sydney,2016,11,19110,540,28937
ABX,SYD,Albury,Sydney,2016,12,18219,510,28876
ABX,SYD,Albury,Sydney,2017,1,15267,422,25780
ABX,SYD,Albury,Sydney,2017,2,15202,490,26735
ABX,SYD,Albury,Sydney,2017,3,20072,560,30492
ABX,SYD,Albury,Sydney,2017,4,19438,506,28092
ABX,SYD,Albury,Sydney,2017,5,19325,544,29658
ABX,SYD,Albury,Sydney,2017,6,18132,501,27776
ABX,SYD,Albury,Sydney,2017,7,20380,537,29358
ABX,SYD,Albury,Sydney,2017,8,20164,561,30471
ABX,SYD,Albury,Sydney,2017,9,19604,498,26708
ABX,SYD,Albury,Sydney,2017,10,19738,495,26506
ABX,SYD,Albury,Sydney,2017,11,19175,500,26925
ABX,SYD,Albury,Sydney,2017,12,17528,440,24839
ABX,SYD,Albury,Sydney,2018,1,15532,378,22308
ABX,SYD,Albury,Sydney,2018,2,15109,416,22865
ABX,SYD,Albury,Sydney,2018,3,18921,487,26806
ABX,SYD,Albury,Sydney,2018,4,18266,455,25680
ABX,SYD,Albury,Sydney,2018,5,18955,514,28256
ABX,SYD,Albury,Sydney,2018,6,18464,479,26398
ABX,SYD,Albury,Sydney,2018,7,20622,502,28300
ABX,SYD,Albury,Sydney,2018,8,21410,535,29462
ABX,SYD,Albury,Sydney,2018,9,19983,502,27661
ABX,SYD,Albury,Sydney,2018,10,21260,537,29336
ABX,SYD,Albury,Sydney,2018,11,19798,504,27238
ABX,SYD,Albury,Sydney,2018,12,18020,445,25072
ABX,SYD,Albury,Sydney,2019,1,15654,384,22933
ABX,SYD,Albury,Sydney,2019,2,15694,449,24735
ABX,SYD,Albury,Sydney,2019,3,19333,537,29026
ABX,SYD,Albury,Sydney,2019,4,19015,497,27213
ABX,SYD,Albury,Sydney,2019,5,19771,542,29204
ABX,SYD,Albury,Sydney,2019,6,18094,483,26187
ABX,SYD,Albury,Sydney,2019,7,20910,541,29416
ABX,SYD,Albury,Sydney,2019,8,21380,525,28523
ABX,SYD,Albury,Sydney,2019,9,20194,521,27780
ABX,SYD,Albury,Sydney,2019,10,21479,534,29040
ABX,SYD,Albury,Sydney,2019,11,20654,525,28195
ABX,SYD,Albury,Sydney,2019,12,17971,460,25347
ABX,SYD,Albury,Sydney,2020,1,12665,323,18523
ABX,SYD,Albury,Sydney,2020,2,15546,459,24245
ABX,SYD,Albury,Sydney,2020,3,12140,435,23069
ABX,SYD,Albury,Sydney,2020,4,NA,NA,NA
ABX,SYD,Albury,Sydney,2020,5,NA,NA,NA
ABX,SYD,Albury,Sydney,2020,6,NA,NA,NA
ABX,SYD,Albury,Sydney,2020,7,NA,NA,NA
ABX,SYD,Albury,Sydney,2020,8,NA,NA,NA
ABX,SYD,Albury,Sydney,2020,9,NA,NA,NA
ABX,SYD,Albury,Sydney,2020,10,NA,NA,NA
ABX,SYD,Albury,Sydney,2020,11,NA,NA,NA
ABX,SYD,Albury,Sydney,2020,12,NA,NA,NA
ABX,SYD,Albury,Sydney,2021,1,NA,NA,NA
ABX,SYD,Albury,Sydney,2021,2,NA,NA,NA
ABX,SYD,Albury,Sydney,2021,3,9871,291,16974
ABX,SYD,Albury,Sydney,2021,4,10648,315,19310
ABX,SYD,Albury,Sydney,2021,5,11507,322,19540
ABX,SYD,Albury,Sydney,2021,6,9726,308,18264
ABX,SYD,Albury,Sydney,2021,7,NA,NA,NA
ABX,SYD,Albury,Sydney,2021,8,NA,NA,NA
ABX,SYD,Albury,Sydney,2021,9,NA,NA,NA
ABX,SYD,Albury,Sydney,2021,10,NA,NA,NA
ABX,SYD,Albury,Sydney,2021,11,NA,NA,NA
ABX,SYD,Albury,Sydney,2021,12,8288,300,17320
ABX,SYD,Albury,Sydney,2022,1,NA,NA,NA
ABX,SYD,Albury,Sydney,2022,2,NA,NA,NA
ABX,SYD,Albury,Sydney,2022,3,11842,356,18708
ABX,SYD,Albury,Sydney,2022,4,12673,374,19372
ABX,SYD,Albury,Sydney,2022,5,12950,398,20924
ABX,SYD,Albury,Sydney,2022,6,13152,384,20048
ABX,SYD,Albury,Sydney,2022,7,14831,430,22183
ABX,SYD,Albury,Sydney,2022,8,15490,471,24454
ABX,SYD,Albury,Sydney,2022,9,15209,425,21019
ABX,SYD,Albury,Sydney,2022,10,14159,407,20558
ABX,SYD,Albury,Sydney,2022,11,14203,433,22258
ABX,SYD,Albury,Sydney,2022,12,12646,388,20824
ABX,SYD,Albury,Sydney,2023,1,10480,342,18774
ABX,SYD,Albury,Sydney,2023,2,11348,395,20174
ABX,SYD,Albury,Sydney,2023,3,15493,484,24684
ABX,SYD,Albury,Sydney,2023,4,13744,425,21558
ABX,SYD,Albury,Sydney,2023,5,13679,407,20534
ABX,SYD,Albury,Sydney,2023,6,14238,408,21332
ABX,SYD,Albury,Sydney,2023,7,14313,402,21272
