airline,country,n_flights_in,n_passengers_in,n_seats_in,n_flights_out,n_passengers_out,year,month
Air Caledonie International,New Caledonia,48,8045,8592,47,7058,2016,1
Air Canada,Canada,31,8094,8935,31,6804,2016,1
Air China,China,110,24190,27900,110,19933,2016,1
Air India,India,31,7620,7936,31,6396,2016,1
Air Mauritius,Mauritius,13,3489,3600,14,3407,2016,1
Air New Zealand,Cook Islands,5,1094,1144,5,921,2016,1
Air New Zealand,New Zealand,726,126246,151162,721,120009,2016,1
Air Niugini,Papua New Guinea,114,7690,15606,112,8357,2016,1
Air Vanuatu,Vanuatu,38,3898,6460,38,3500,2016,1
AirAsia X,Malaysia,217,75692,81809,218,58996,2016,1
All Nippon Airways,Japan,31,6311,6665,31,5941,2016,1
American Airlines,USA,31,9199,9610,31,7135,2016,1
Asiana Airlines,Korea,31,7250,9393,31,7582,2016,1
British Airways,UK,31,8831,9207,31,7828,2016,1
Cathay Pacific Airways,Hong Kong (SAR),340,86094,89039,340,74301,2016,1
Cebu Pacific Air,Philippines,22,9266,9592,22,6325,2016,1
China Airlines,New Zealand,63,18018,20899,63,18692,2016,1
China Airlines,Taiwan,63,19351,20682,63,15925,2016,1
China Eastern Airlines,China,160,35429,39529,159,26094,2016,1
China Southern Airlines,China,237,58770,70888,237,53364,2016,1
Delta Air Lines,USA,31,8579,9021,31,7264,2016,1
Emirates,New Zealand,124,51781,56296,124,50816,2016,1
Emirates,United Arab Emirates,350,139402,142994,349,118001,2016,1
Etihad Airways,United Arab Emirates,173,56244,57023,173,47613,2016,1
Eva Air,Taiwan,13,3038,3276,13,2631,2016,1
Federal Express Corporation,China,NA,NA,NA,27,NA,2016,1
Federal Express Corporation,USA,27,NA,NA,NA,NA,2016,1
Fiji Airways,Fiji,148,25646,27740,149,20642,2016,1
Garuda Indonesia,Indonesia,147,30445,32656,147,22732,2016,1
Hainan Airlines,China,9,2101,2250,8,1284,2016,1
Hawaiian Airlines,USA,48,13092,14064,48,10320,2016,1
Hong Kong Airlines,Hong Kong (SAR),11,2494,3212,11,1433,2016,1
Indonesia AirAsia,Indonesia,125,17625,22500,125,13627,2016,1
Indonesia AirAsia Extra,Indonesia,46,13859,17342,46,10631,2016,1
Japan Airlines,Japan,31,7249,7564,31,6535,2016,1
Jetstar,China,9,1802,3015,9,1453,2016,1
Jetstar,Fiji,31,4865,5580,31,3778,2016,1
Jetstar,Indonesia,254,55141,60135,253,43792,2016,1
Jetstar,Japan,102,29145,34170,102,25580,2016,1
Jetstar,New Zealand,341,53574,62000,339,50114,2016,1
Jetstar,Singapore,54,12147,13285,54,10721,2016,1
Jetstar,Thailand,40,12638,13400,40,11448,2016,1
Jetstar,USA,55,15849,18425,55,12198,2016,1
Jetstar Asia,Singapore,88,13457,15840,89,12151,2016,1
Korean Air,Korea,61,19368,20596,61,16266,2016,1
LATAM Airlines,Chile,30,8575,9270,30,8459,2016,1
Malaysia Airlines,Malaysia,195,48150,51603,196,36304,2016,1
Malindo Air,Malaysia,49,6531,8010,49,3575,2016,1
Nauru Airlines,Nauru,17,894,2176,22,874,2016,1
Pacific Air Express,Nauru,NA,NA,NA,1,NA,2016,1
Pacific Air Express,Papua New Guinea,4,NA,NA,4,NA,2016,1
Pacific Air Express,Solomon Islands,3,NA,NA,NA,NA,2016,1
Pacific Air Express,Vanuatu,NA,NA,NA,3,NA,2016,1
Philippine Airlines,New Zealand,17,1321,2652,17,1968,2016,1
Philippine Airlines,Philippines,76,15262,18961,75,11281,2016,1
Polar Air Cargo,China,NA,NA,NA,9,NA,2016,1
Polar Air Cargo,Japan,12,NA,NA,4,NA,2016,1
Polar Air Cargo,USA,5,NA,NA,NA,NA,2016,1
Qantas Airways,Canada,11,3750,3948,11,3357,2016,1
Qantas Airways,Chile,22,6539,7937,22,6822,2016,1
Qantas Airways,China,32,8449,9207,32,6528,2016,1
Qantas Airways,Hong Kong (SAR),117,35987,38657,117,28412,2016,1
Qantas Airways,Indonesia,39,7693,8443,39,5932,2016,1
Qantas Airways,Japan,62,19446,20280,62,16493,2016,1
Qantas Airways,New Caledonia,19,2991,3176,19,2592,2016,1
Qantas Airways,New Zealand,524,77065,84928,526,76384,2016,1
Qantas Airways,Papua New Guinea,49,1864,3626,50,2202,2016,1
Qantas Airways,Philippines,23,6420,6831,23,5543,2016,1
Qantas Airways,Singapore,157,37532,39764,157,34352,2016,1
Qantas Airways,South Africa,31,10546,11229,31,9613,2016,1
Qantas Airways,Thailand,31,8814,9135,34,8134,2016,1
Qantas Airways,UK,62,28792,30008,62,24352,2016,1
Qantas Airways,USA,217,71146,77377,214,63327,2016,1
Qatar Airways,Qatar,62,21214,22048,62,19579,2016,1
Royal Brunei Airlines,Brunei,31,7284,7874,31,6424,2016,1
Scoot,Singapore,111,37057,41625,111,30464,2016,1
Sichuan Airlines,China,22,4792,5915,22,3660,2016,1
Silk Air,Singapore,30,4286,4860,30,3231,2016,1
Singapore Airlines,New Zealand,8,NA,NA,12,NA,2016,1
Singapore Airlines,Singapore,579,152566,159867,575,129431,2016,1
Solomon Airlines,Solomon Islands,22,1576,2992,22,1249,2016,1
South African Airways,South Africa,31,8036,8525,31,7598,2016,1
Tasman Cargo Airlines,New Zealand,14,NA,NA,14,NA,2016,1
Thai Airways International,Thailand,169,49600,52444,169,32939,2016,1
United Airlines,USA,93,22567,24490,91,19306,2016,1
United Parcel Service,China,NA,NA,NA,26,NA,2016,1
