origin_city,dest_city,dest_country,n_passengers_in,n_passengers_out,year,month
Adelaide,Auckland,New Zealand,2725,3179,2016,9
Adelaide,Denpasar,Indonesia,6611,7437,2016,9
Adelaide,Dubai,United Arab Emirates,9927,9051,2016,9
Adelaide,Hong Kong,Hong Kong (SAR),4017,3972,2016,9
Adelaide,Kuala Lumpur,Malaysia,3942,4008,2016,9
Adelaide,Singapore,Singapore,8196,8035,2016,9
Brisbane,Abu Dhabi,United Arab Emirates,6733,6818,2016,9
Brisbane,Apia,Western Samoa,516,562,2016,9
Brisbane,Auckland,New Zealand,40397,40807,2016,9
Brisbane,Bangkok,Thailand,6413,7001,2016,9
Brisbane,Christchurch,New Zealand,7830,8447,2016,9
Brisbane,Denpasar,Indonesia,9789,9812,2016,9
Brisbane,Dubai,United Arab Emirates,18553,17836,2016,9
Brisbane,Dunedin,New Zealand,2202,2304,2016,9
Brisbane,Espiritu Santo,Vanuatu,123,416,2016,9
Brisbane,Guangzhou,China,4580,4465,2016,9
Brisbane,Hong Kong,Hong Kong (SAR),15201,15055,2016,9
Brisbane,Honiara,Solomon Islands,1817,2077,2016,9
Brisbane,Honolulu,USA,5859,7047,2016,9
Brisbane,Los Angeles,USA,19114,18083,2016,9
Brisbane,Manila,Philippines,922,931,2016,9
Brisbane,Nadi,Fiji,8071,8645,2016,9
Brisbane,Nauru,Nauru,803,825,2016,9
Brisbane,Noumea,New Caledonia,1346,1423,2016,9
Brisbane,Port Moresby,Papua New Guinea,8508,8883,2016,9
Brisbane,Port Vila,Vanuatu,3061,3269,2016,9
Brisbane,Queenstown,New Zealand,4210,4450,2016,9
Brisbane,Seoul,Korea,3337,3475,2016,9
Brisbane,Singapore,Singapore,33974,33189,2016,9
Brisbane,Taipei,Taiwan,4274,5191,2016,9
Brisbane,Tokyo,Japan,6317,7183,2016,9
Brisbane,Wellington,New Zealand,8515,8570,2016,9
Cairns,Auckland,New Zealand,2481,2599,2016,9
Cairns,Denpasar,Indonesia,1699,1843,2016,9
Cairns,Guam,Guam,528,553,2016,9
Cairns,Hong Kong,Hong Kong (SAR),2770,2186,2016,9
Cairns,Osaka,Japan,4181,5318,2016,9
Cairns,Port Moresby,Papua New Guinea,4151,4379,2016,9
Cairns,Singapore,Singapore,1211,1419,2016,9
Cairns,Tokyo,Japan,6825,7899,2016,9
Darwin,Denpasar,Indonesia,3983,4132,2016,9
Darwin,Kuala Lumpur,Malaysia,1158,1103,2016,9
Darwin,Manila,Philippines,507,436,2016,9
Darwin,Singapore,Singapore,5149,4811,2016,9
Gold Coast,Auckland,New Zealand,12454,12437,2016,9
Gold Coast,Christchurch,New Zealand,4126,3944,2016,9
Gold Coast,Kuala Lumpur,Malaysia,6811,7288,2016,9
Gold Coast,Nadi,Fiji,1828,1902,2016,9
Gold Coast,Queenstown,New Zealand,1497,1710,2016,9
Gold Coast,Singapore,Singapore,5449,5408,2016,9
Gold Coast,Tokyo,Japan,6180,7771,2016,9
Gold Coast,Wellington,New Zealand,1915,1882,2016,9
Gold Coast,Wuhan,China,319,NA,2016,9
Melbourne,Abu Dhabi,United Arab Emirates,18996,17963,2016,9
Melbourne,Anchorage,USA,NA,NA,2016,9
Melbourne,Auckland,New Zealand,44482,44373,2016,9
Melbourne,Bandar Seri Begawan,Brunei,6615,6197,2016,9
Melbourne,Bangkok,Thailand,16524,17984,2016,9
Melbourne,Beijing,China,3064,2933,2016,9
Melbourne,Chengdu,China,2137,2203,2016,9
Melbourne,Christchurch,New Zealand,10364,10838,2016,9
Melbourne,Denpasar,Indonesia,27454,28467,2016,9
Melbourne,Doha,Qatar,9401,9516,2016,9
Melbourne,Dubai,United Arab Emirates,27623,23725,2016,9
Melbourne,Guangzhou,China,11284,12033,2016,9
Melbourne,Ho Chi Minh City,Vietnam,6455,6137,2016,9
Melbourne,Hohhot,China,NA,NA,2016,9
Melbourne,Hong Kong,Hong Kong (SAR),27042,26467,2016,9
Melbourne,Honolulu,USA,3254,3184,2016,9
Melbourne,Jakarta,Indonesia,2770,2937,2016,9
Melbourne,Kuala Lumpur,Malaysia,31123,31997,2016,9
